Ticker            , Description                                                                     , Dernier        , Variation % , Variation     , Haut           , Bas            , Volume           , Évaluation , Marché
ADAGBP            , ADA / GBP                                                                       , 0.66505        , -0.33568613 , -0.00224      , 0.66505        , 0.66505        , 446.71375745     , Acheter    , KRAKEN
ADAH2021          , ADA Futures Contract (March 2021)                                               , 0.94846        , -0.03794186 , -0.00036      , 0.94892        , 0.94846        , 182              , Vendre     , BINANCE
ADAHUSD           , Cardano / HUSD                                                                  , 0.920061       , 0.00282598  , 0.000026      , 0.920061       , 0.920058       , 27.5808          , Acheter    , HUOBI
ADAKRW            , ADA / South Korean Won                                                          , 1011           , -0.09881423 , -1            , 1013           , 1011           , 23530.30942292   , Vendre     , BITHUMB
ADAM2021          , ADA Futures Contract (June 2021)                                                , 0.97298        , 0.01850329  , 0.00018       , 0.97339        , 0.97265        , 448              , Neutre     , BINANCE
ADAPERP           , ADA Perpetual Swap Contract                                                     , 0.920819       , 0.02878701  , 0.000265      , 0.921053       , 0.920323       , 196              , Vendre     , HUOBI
ADAPERP           , ADA Perpetual Futures Contract                                                  , 0.92151        , -0.0021703  , -0.00002      , 0.92213        , 0.92148        , 842              , Vendre     , BINANCE
ADATHB            , Cardano                                                                         , 27.93          , 0.03581662  , 0.01          , 27.93          , 27.92          , 454.22318983     , Acheter    , BITKUB
ADATUSD           , Cardano / TrueUSD                                                               , 0.91556        , -0.03930474 , -0.00036      , 0.91556        , 0.91556        , 12               , Acheter    , BINANCE
ADAUPUSDT         , Cardano UP / TetherUS                                                           , 77.514         , 0.01032178  , 0.008         , 77.514         , 77.514         , 3.43             , Vendre     , BINANCE
ADAUSD            , Cardano / US Dollar                                                             , 0.91883        , -0.07395243 , -0.00068      , 0.91883        , 0.91883        , 107.49510998     , Neutre     , BITTREX
ADAUSD            , ADA / USD                                                                       , 0.918999       , 0.03603043  , 0.000331      , 0.918999       , 0.918668       , 10728.05136629   , Neutre     , KRAKEN
ADAUSD            , ADA / Dollar                                                                    , 0.91843        , -0.02177155 , -0.0002       , 0.91843        , 0.91821        , 1079.95652047    , Neutre     , BITFINEX
ADAUSD            , Cardano / US Dollar (calculated by TradingView)                                 , 0.918555       , -0.02766698 , -0.00025421   , 0.91926717     , 0.9180325      , 7414.09495569    , Neutre     , BINANCE
ADAUSD            , Cardano / US Dollar (calculated by TradingView)                                 , 0.91871175     , 0.02379813  , 0.00021858    , 0.91942404     , 0.91829375     , 24.09495569      , Neutre     , HITBTC
ADAUSDC           , Cardano / USD//Coin                                                             , 0.91782        , 0           , 0             , 0.923544       , 0.91782        , 325.61855896     , Acheter    , KUCOIN
ADAUSDC           , Cardano / USD Coin                                                              , 0.91707        , 0.02726817  , 0.00025       , 0.92124        , 0.91707        , 327.9            , Acheter    , BINANCE
ADAUSDT           , Cardano / Tether                                                                , 0.9174534      , 0           , 0             , 0.9174534      , 0.9174534      , 81               , Neutre     , HITBTC
ADAUSDT           , Cardano / Tether USD                                                            , 0.917594       , 0.01111726  , 0.000102      , 0.917958       , 0.917493       , 58261.05227838   , Neutre     , HUOBI
ADAUSDT           , ADA / USDT                                                                      , 0.918257       , -0.0815011  , -0.000749     , 0.918257       , 0.918038       , 700              , Acheter    , KRAKEN
ADAUSDT           , Cardano / Tether                                                                , 0.91812181     , -0.03880332 , -0.0003564    , 0.91824264     , 0.918          , 7509.47345182    , Neutre     , BITTREX
ADAUSDT           , Cardano / TetherUS                                                              , 0.91734        , -0.02833479 , -0.00026      , 0.91799        , 0.91734        , 39932.2          , Neutre     , BINANCE
ADAUSDT           , Cardano / Tether                                                                , 0.91759        , -0.01983063 , -0.000182     , 0.91759        , 0.91759        , 25.61213912      , Neutre     , KUCOIN
ADAUSDTPERP       , Cardano / TetherUS PERPETUAL FUTURES                                            , 0.92126        , 0.01302734  , 0.00012       , 0.92155        , 0.92104        , 40740            , Neutre     , BINANCE
ADAUST            , ADA / UST                                                                       , 0.91819        , 0           , 0             , 0.91819        , 0.91819        , 13.13454         , Acheter    , BITFINEX
ADAXBT            , ADA / XBT                                                                       , 0.00001759     , -0.05681818 , -1e-8         , 0.00001759     , 0.00001757     , 1472.24840426    , Vendre     , KRAKEN
ADBBTC            , Adbank / Bitcoin                                                                , 3e-8           , 11.2244898  , 0             , 3e-8           , 3e-8           , 0.0059           , Fort achat , KUCOIN
ADBETH            , Adbank / Ethereum                                                               , 8.5e-7         , 1.67865707  , 1e-8          , 8.5e-7         , 8.4e-7         , 0.00463077       , Acheter    , KUCOIN
ADELUSDT          , Akropolis Delphi / Tether USD                                                   , 0.32249146     , -0.29117911 , -0.00094177   , 0.32249146     , 0.32249146     , 134.90415633     , Acheter    , POLONIEX
ADKBTC            , Aidos Kuneen / Bitcoin                                                          , 0.00006263     , 8.46899896  , 0.00000489    , 0.00006263     , 0.00006262     , 753.89853679     , Vendre     , BITTREX
ADKBTC            , Aidos Kuneen / Bitcoin                                                          , 0.00006298     , 7.30959278  , 0.00000429    , 0.00006298     , 0.00006228     , 19.15            , Forte vente, HITBTC
ADKUSD            , Aidos Kuneen / US Dollar (calculated by TradingView)                            , 3.2724175      , -0.01033386 , -0.0003382    , 3.27495464     , 3.271895       , 754.99349248     , Neutre     , BITTREX
ADKUSD            , Aidos Kuneen / US Dollar (calculated by TradingView)                            , 3.290705       , -0.01033386 , -0.00034009   , 3.29325632     , 3.25413        , 20.24495569      , Neutre     , HITBTC
ADPKRW            , ADP / South Korean Won                                                          , 22.52          , -0.48608042 , -0.11         , 22.64          , 22.52          , 39882.3645       , Vendre     , BITHUMB
ADTBTC            , adToken / Bitcoin                                                               , 3e-8           , 0           , 0             , 3e-8           , 3e-8           , 241269.26378011  , Fort achat , BITTREX
ADTUSD            , adToken / US Dollar (calculated by TradingView)                                 , 0.0015675      , -0.01033386 , -1.6e-7       , 0.00156872     , 0.0015675      , 241270.3587358   , Vendre     , BITTREX
ADXBTC            , AdEx / Bitcoin                                                                  , 0.00001415     , 0           , 0             , 0.00001415     , 0.00001415     , 106              , Acheter    , BINANCE
